design,clock_period_ns,input_delay,output_delay,cell_count,chip_area,wns,tns,setup_violated
alu_8bit,10.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,10.5,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,10.5,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,11.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,11.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,11.0,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,11.0,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,11.0,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,11.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,11.5,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,11.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,11.5,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,11.5,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,12.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,12.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,12.0,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,12.0,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,12.0,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,12.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,12.5,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,12.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,12.5,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,12.5,2.0,2.0,132,912.124800,0.00,0.00,0
multiplier_4bit,3.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,3.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,3.0,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,3.0,1.5,1.5,60,528.006400,-0.03,-0.06,1
multiplier_4bit,3.0,2.0,2.0,60,528.006400,-0.53,-2.17,1
multiplier_4bit,3.5,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,3.5,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,3.5,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,3.5,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,3.5,2.0,2.0,60,528.006400,-0.03,-0.06,1
multiplier_4bit,4.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,4.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,4.0,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,4.0,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,4.0,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,4.5,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,4.5,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,4.5,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,4.5,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,4.5,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,5.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,5.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,5.0,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,5.0,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,5.0,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,5.5,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,5.5,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,5.5,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,5.5,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,5.5,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,6.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,6.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,6.0,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,6.0,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,6.0,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,6.5,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,6.5,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,6.5,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,6.5,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,6.5,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,7.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,7.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,7.0,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,7.0,1.5,1.5,60,528.006400,0.00,0.00,0
